Time (s),Amplitude
1.245575,0
1.245575,0
1.245575,0
1.245575,0
1.245575,0
1.246575,0
1.246575,0
1.247575,0
1.247575,0
1.247575,0
1.247575,0
1.247575,0
1.248575,0
1.248575,0
1.248575,0
1.248575,0
1.249768,0
1.249768,0
1.249768,0
1.250764,0
1.250764,0
1.250764,0
1.250764,0
1.250764,0
1.251764,0
1.251764,0
1.251764,0
1.252764,0
1.252764,0
1.252764,0
1.252764,0
1.252764,0
1.253763,0
1.253763,0
1.253763,0
1.253763,0
1.253763,0
1.254762,0
1.255763,0
1.255763,0
1.255763,0
1.255763,0
1.255763,0
1.256764,0
1.256764,0
1.256764,0
1.256764,0
1.256764,0
1.258054,0
1.258054,0
1.258054,0
1.259051,0
1.259051,0
1.259051,0
1.259051,0
1.259051,0
1.260050,0
1.260050,0
1.260050,0
1.261051,0
1.261051,0
1.261051,0
1.261051,0
1.262051,0
1.262051,0
1.262051,0
1.262051,0
1.262051,0
1.262051,0
1.263050,0
1.264050,0
1.264050,0
1.264050,0
1.264050,0
1.264050,0
1.265051,0
1.265051,0
1.265051,0
1.265051,0
1.265051,0
1.266051,0
1.267053,0
1.267053,0
1.267053,0
1.267053,0
1.267053,0
1.268052,0
1.268052,0
1.268052,0
1.268052,0
1.268052,0
1.269051,0
1.269051,0
1.269051,0
1.270051,0
1.270051,0
1.270051,0
1.270051,0
1.270051,0
1.271054,0
1.271054,0
1.272052,0
1.272052,0
1.272052,0
1.272052,0
1.272052,0
1.273053,0
1.273053,0
1.273053,0
1.274053,0
1.274053,0
1.274053,0
1.275110,0
1.275225,0
1.275225,0
1.275225,0
1.275225,0
1.275225,0
1.275225,0
1.276222,0
1.276222,0
1.276222,0
1.276222,0
1.277220,0
1.277220,0
1.278220,0
1.278220,0
1.278220,0
1.278220,0
1.278220,0
1.279221,0
1.279221,0
